student_id,age,gender,decision_period,degree_program,cgpa,academic_consistency,major_subject_score,aptitude_score,logical_reasoning_score,communication_score,programming_skill,data_analysis_skill,domain_knowledge_score,digital_literacy_score,technical_certifications,leadership_score,teamwork_score,problem_solving_score,creativity_score,adaptability_score,openness_score,conscientiousness_score,extraversion_score,agreeableness_score,emotional_stability_score,career_interest_domain,career_interest_strength,work_environment_preference,risk_tolerance,internship_count,internship_duration_months,project_count,industry_exposure_score,extracurricular_score,resume_quality_score,interview_skill_score,employability_score,career_demand_index,job_growth_rate,average_salary,competition_index,skill_demand_alignment,career_suitability_reward,employment_demand_reward,salary_potential_reward,skill_alignment_reward,student_satisfaction_reward,total_reward,next_employability_score,next_skill_alignment,career_decision_success,recommended_career
STU_00001,24,Female,2,Science,6.13,80.83,73.33,80.14,72.41,41.02,95.93,80.37,70.89,68.55,1,38.84,60.94,85.58,69.04,100.0,72.64,49.27,52.1,63.03,64.71,Research,88.5,Hybrid,45.36,5,24,5,56.12,84.57,,41.99,66.26,56.51,12.36,441462.36,43.81,80.41,0.7983,0.5651,0.1341,0.8041,0.8604,0.6597,68.56,84.7,1,Cloud and DevOps
STU_00002,21,Female,7,Electrical Engineering,6.99,77.71,92.88,90.32,54.09,57.53,34.42,48.02,77.14,83.96,1,58.92,70.31,55.32,62.53,66.26,51.45,71.95,65.54,68.89,80.45,Public Service,88.38,Remote,25.18,1,5,4,22.5,89.13,44.68,72.47,63.31,98.06,6.49,502064.83,62.94,66.41,0.8348,0.9806,0.1678,0.6641,0.8237,0.7201,65.06,71.7,1,Higher Education
STU_00003,22,Male,7,Computer Science,7.88,73.51,56.78,90.46,92.95,67.18,80.72,71.75,57.08,82.35,3,73.09,77.76,38.2,61.67,96.78,72.94,74.36,55.13,83.88,88.18,Technology,76.51,Hybrid,42.55,1,2,6,43.9,54.54,66.84,26.58,74.68,98.8,14.1,878610.41,75.43,69.46,0.8983,0.988,0.377,0.6946,0.829,0.7802,77.63,72.18,1,Finance and Banking
STU_00004,24,Male,1,Electrical Engineering,9.24,72.58,71.34,69.54,75.22,83.63,88.81,69.71,100.0,80.95,3,60.19,85.38,57.47,52.77,57.98,64.24,53.53,67.59,86.03,43.54,Research,79.26,Field,67.81,1,2,8,60.75,48.64,58.56,52.12,65.94,94.11,-0.25,200000.0,88.98,81.53,0.8145,0.9411,0.0,0.8153,0.6786,0.7043,74.85,88.44,1,Research and Academia
STU_00005,20,Female,3,Mechanical Engineering,5.51,61.17,83.03,59.57,79.77,66.12,37.28,82.26,51.28,67.86,3,38.5,68.32,59.22,63.8,92.64,98.96,67.61,95.02,60.32,59.57,Entrepreneurship,61.76,Hybrid,100.0,0,0,3,0.0,54.39,80.5,62.0,63.01,77.37,1.81,947692.39,45.14,58.71,0.7377,0.7737,0.4154,0.5871,0.675,0.6526,70.97,62.53,0,Research and Academia
STU_00006,25,Female,6,Mechanical Engineering,5.91,74.19,80.71,73.85,68.32,100.0,50.31,69.92,93.71,80.6,5,56.64,70.58,52.48,59.81,66.96,47.79,73.37,66.82,68.06,58.62,Finance,57.92,Office,82.41,1,2,1,34.92,64.36,59.78,75.63,71.28,81.41,10.28,924214.87,51.37,71.68,0.7842,0.8141,0.4023,0.7168,0.5987,0.6975,80.79,75.72,1,Marketing and Sales
STU_00007,22,Male,5,Civil Engineering,6.89,48.12,94.1,62.5,79.18,50.03,55.59,71.37,77.78,85.61,3,49.83,71.66,49.7,80.2,83.98,69.27,85.12,69.53,62.9,64.56,Research,69.65,Field,19.48,2,2,3,64.49,47.28,79.08,44.09,61.83,61.93,12.73,1141343.77,42.79,71.53,0.7715,0.6193,0.523,0.7153,0.715,0.6841,69.49,76.11,1,Finance and Banking
STU_00008,22,Male,8,Economics,6.28,77.74,67.46,81.29,81.58,77.15,97.81,45.89,51.78,75.01,3,65.53,92.19,84.51,66.56,62.47,41.8,60.73,51.11,71.42,68.45,Technology,88.43,Laboratory,46.96,2,4,2,79.2,44.07,75.31,68.27,73.99,63.76,1.98,451881.52,74.95,73.36,0.8809,0.6376,0.1399,0.7336,0.7924,0.6754,80.73,75.92,1,Software Development
STU_00009,24,Female,8,Computer Science,7.4,83.74,51.25,88.94,71.11,69.43,78.1,82.15,42.19,95.04,1,60.07,62.09,,65.49,59.07,61.82,75.27,66.24,66.49,61.81,Entrepreneurship,59.94,Field,50.77,2,10,2,33.63,100.0,67.52,88.3,78.23,65.28,14.36,830442.33,89.56,65.89,0.8155,0.6528,0.3502,0.6589,0.6014,0.6526,81.94,71.08,0,Finance and Banking
STU_00010,19,Female,5,Electronics,6.81,55.17,80.28,79.14,64.09,72.32,92.74,73.22,58.75,88.21,3,69.12,81.0,84.2,69.54,57.25,74.27,75.64,68.49,74.93,41.69,Business,,Field,73.62,1,3,6,42.93,50.83,37.67,71.84,67.21,63.94,6.78,669652.77,90.35,72.9,0.8659,0.6394,0.2609,0.729,0.6911,0.6781,69.17,75.43,1,Cloud and DevOps
