snapshot_date,category,skill,skill_group,listing_count,total_listings,demand_pct,required_count
2026-07-21,data,SQL,Language,806,7177,11.2,799
2026-07-21,data,Python,Language,671,7177,9.3,654
2026-07-21,data,Machine Learning,Skill,493,7177,6.9,488
2026-07-21,data,Stakeholder Mgmt,Soft Skill,404,7177,5.6,399
2026-07-21,data,AWS,Cloud,289,7177,4.0,276
2026-07-21,data,ETL,Skill,263,7177,3.7,257
2026-07-21,data,Statistical Analysis,Skill,252,7177,3.5,244
2026-07-21,data,Power BI,BI,238,7177,3.3,234
2026-07-21,data,Data Modeling,Skill,232,7177,3.2,224
2026-07-21,data,Databricks,Platform,225,7177,3.1,214
2026-07-21,data,Snowflake,Warehouse,217,7177,3.0,207
2026-07-21,data,Azure,Cloud,218,7177,3.0,215
2026-07-21,data,Spark,Processing,206,7177,2.9,195
2026-07-21,data,LLMs / GenAI,Skill,168,7177,2.3,164
2026-07-21,data,A/B Testing,Skill,161,7177,2.2,153
2026-07-21,data,Excel,Tool,137,7177,1.9,132
2026-07-21,data,Tableau,BI,129,7177,1.8,120
2026-07-21,data,dbt,Transform,124,7177,1.7,107
2026-07-21,data,Agile / Scrum,Methodology,121,7177,1.7,118
2026-07-21,data,Airflow,Orchestrator,98,7177,1.4,78
2026-07-21,data,GCP,Cloud,103,7177,1.4,99
2026-07-21,data,Java,Language,78,7177,1.1,78
2026-07-21,data,Git,Tool,79,7177,1.1,75
2026-07-21,data,AI Agents,Technique,70,7177,1.0,70
2026-07-21,data,CI/CD,Pipeline,72,7177,1.0,69
2026-07-21,data,Looker,BI,66,7177,0.9,57
2026-07-21,data,NLP,Skill,62,7177,0.9,60
2026-07-21,data,BigQuery,Warehouse,65,7177,0.9,57
2026-07-21,data,Data Pipeline,Skill,57,7177,0.8,51
2026-07-21,data,Data Visualization,Skill,56,7177,0.8,54
2026-07-21,data,Kafka,Streaming,50,7177,0.7,41
2026-07-21,data,Scala,Language,50,7177,0.7,45
2026-07-21,data,Pandas,Library,41,7177,0.6,40
2026-07-21,data,Redshift,Warehouse,42,7177,0.6,41
2026-07-21,data,Kubernetes,Orchestration,41,7177,0.6,30
2026-07-21,data,Terraform,IaC,40,7177,0.6,33
2026-07-21,data,Docker,DevOps,34,7177,0.5,26
2026-07-21,data,Salesforce,Platform,33,7177,0.5,29
2026-07-21,data,Microsoft Fabric,Platform,28,7177,0.4,28
2026-07-21,data,RAG,Technique,32,7177,0.4,30
2026-07-21,data,PostgreSQL,Database,29,7177,0.4,29
2026-07-21,data,AWS Security,Cloud,18,7177,0.3,15
2026-07-21,data,Deep Learning,Skill,21,7177,0.3,21
2026-07-21,data,PyTorch,Framework,22,7177,0.3,22
2026-07-21,data,Prototyping,Skill,24,7177,0.3,23
2026-07-21,data,Flink,Streaming,21,7177,0.3,17
2026-07-21,data,NumPy,Library,23,7177,0.3,23
2026-07-21,data,Jira,Tool,20,7177,0.3,19
2026-07-21,data,Linux,OS,19,7177,0.3,15
2026-07-21,data,scikit-learn,Library,25,7177,0.3,25
2026-07-21,data,Elasticsearch,Database,17,7177,0.2,14
2026-07-21,data,Segment,Analytics,16,7177,0.2,14
2026-07-21,data,Workday,Platform,14,7177,0.2,14
2026-07-21,data,Informatica,Tool,11,7177,0.2,11
2026-07-21,data,MySQL,Database,16,7177,0.2,16
2026-07-21,data,JavaScript,Language,12,7177,0.2,11
2026-07-21,data,System Design,Skill,11,7177,0.2,11
2026-07-21,data,AI Coding Tools,Tool,14,7177,0.2,13
2026-07-21,data,Trino,Query Engine,13,7177,0.2,12
2026-07-21,data,MongoDB,Database,12,7177,0.2,12
2026-07-21,data,SageMaker,MLOps,11,7177,0.2,7
2026-07-21,data,MLflow,MLOps,15,7177,0.2,14
2026-07-21,data,Dagster,Orchestrator,14,7177,0.2,13
2026-07-21,data,SAP,Platform,11,7177,0.2,11
2026-07-21,data,Fivetran,Tool,14,7177,0.2,13
2026-07-21,data,Apache Iceberg,Table Format,17,7177,0.2,14
2026-07-21,data,TensorFlow,Framework,17,7177,0.2,17
2026-07-21,data,C#,Language,9,7177,0.1,9
2026-07-21,data,Airbyte,Tool,5,7177,0.1,4
2026-07-21,data,Amplitude,Analytics,9,7177,0.1,8
2026-07-21,data,C++,Language,10,7177,0.1,10
2026-07-21,data,ClickHouse,Database,10,7177,0.1,10
2026-07-21,data,Data Observability,Skill,10,7177,0.1,7
2026-07-21,data,Datadog,Monitoring,8,7177,0.1,8
2026-07-21,data,Dynamics 365,Platform,7,7177,0.1,7
2026-07-21,data,DynamoDB,Database,10,7177,0.1,10
2026-07-21,data,Figma,Design,7,7177,0.1,7
2026-07-21,data,Fine-tuning,Technique,8,7177,0.1,8
2026-07-21,data,Go,Language,4,7177,0.1,4
